session_id,date,start,end,hall,venue_key,place,track,track_curator,kind,title,speaker_keys,speaker_slugs,organizer_key
g8-2026-e097,2026-09-11,16:00,16:20,Simple Music,хлебозавод №9,Хлебозавод,Бюро Глагол,,talk,Чрезмерное потребление критики вредит вашему здоровью,ксения литвинова; миляуша лукманова,kseniya-litvinova; milyausha-lukmanova,g8
g8-2026-e099,2026-09-11,16:30,17:40,Simple Music,хлебозавод №9,Хлебозавод,Бюро Глагол,,special,"Специальный показ Яндекса: «Где я пригодился» — фильм о том, как выходить за рамки и быть шире обстоятельств",,,g8
g8-2026-e101,2026-09-11,18:00,18:20,Simple Music,хлебозавод №9,Хлебозавод,Блогеры,Юлия Белая,talk,"Тиндер для блогеров. Неудачные свидания брендов, агентств и креаторов",пётр губанов,petr-gubanov,g8
g8-2026-e102,2026-09-11,18:20,18:40,Simple Music,хлебозавод №9,Хлебозавод,Блогеры,Юлия Белая,talk,"Где живет аудитория, что такое контент-заводы, в чем сила креаторов и чего ждать от 2027-го",ярослав андреев,yaroslav-andreev,g8
g8-2026-e103,2026-09-11,18:40,19:00,Simple Music,хлебозавод №9,Хлебозавод,Блогеры,Юлия Белая,talk,Инженерный взгляд на креатив,даня крастер,danya-kraster,g8
g8-2026-e104,2026-09-11,19:00,19:20,Simple Music,хлебозавод №9,Хлебозавод,Блогеры,Юлия Белая,talk,"Аффирмация на интеграцию. Почему бренды выбирают одних блогеров, а других — нет",денгадден,dengadden,g8
g8-2026-e105,2026-09-11,19:20,,Simple Music,хлебозавод №9,Хлебозавод,Блогеры,Юлия Белая,disc,"Дискуссия: Инфлюенс-маркетинг 2026/2027: новые платформы, новые деньги, новые звезды. Или нет?",юлия белая; максим перлин; ярослав андреев; карлен ходикян; андрей глазунов,yuliya-belaya; maksim-perlin; yaroslav-andreev; karlen-hodikyan; andrei-glazunov,g8
g8-2026-e106,2026-09-11,11:00,11:10,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,service,Открытие секции,,,g8
g8-2026-e107,2026-09-11,11:10,11:30,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,Клиентский сервис: как не пересолить в отношениях с клиентом,анна зайцева,anna-zaitseva,g8
g8-2026-e108,2026-09-11,11:30,11:50,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,Острая нехватка продающего креатива,николай осин,nikolai-osin,g8
