name,entity_key,slug,profile_url,in_afisha_graph,has_profile_page,sessions,role,sections,halls,session_ids
Илья Доронов,илья доронов,ilya-doronov,https://www.design-events.fun/speaker/ilya-doronov,0,0,1,управляющий директор объединенной вещательной редакции РБК,Медиа,Котельная,e064
Илья Корнеев,илья корнеев,ilya-korneev,https://www.design-events.fun/speaker/ilya-korneev,0,0,1,,Клуб,Лекторий,e140
Ира Лаврова,ира лаврова,ira-lavrova,https://www.design-events.fun/speaker/ira-lavrova,0,0,1,Head of production Friends,Big Picture,Лекторий,e129
Ирина Волкова,ирина волкова,irina-volkova,https://www.design-events.fun/speaker/irina-volkova,1,0,1,"основатель и арт-директор в ATTENTION, исследователь глобальных трендов в TRENDSTORM",REDDAY,Гостиная,e111
Ирина Парфентьева,ирина парфентьева,irina-parfenteva,https://www.design-events.fun/speaker/irina-parfenteva,0,0,1,главный редактор Телеканала РБК,Медиа,Котельная,e064
Карина Шабанова,карина шабанова,karina-shabanova,https://www.design-events.fun/speaker/karina-shabanova,1,0,1,сооснователь креативного агентства You Know Studio,REDDAY,Гостиная,e114
Карлен Ходикян,карлен ходикян,karlen-hodikyan,https://www.design-events.fun/speaker/karlen-hodikyan,0,0,1,креативный директор коммуникационного агентства DIDENOK TEAM,Блогеры,Simple Music,e105
Каролина Кириченко,каролина кириченко,karolina-kirichenko,https://www.design-events.fun/speaker/karolina-kirichenko,0,0,1,руководитель AI-направления и креативный продюсер MATE Production,Big Picture,Лекторий,e129
Катя Иванова,катя иванова,katya-ivanova,https://www.design-events.fun/speaker/katya-ivanova,0,0,1,"креативный директор КБ «Золотые тигры», журнала «Пчела»",Медиа,Котельная,e059
Катя Норштейн,катя норштейн,katya-norshtein,https://www.design-events.fun/speaker/katya-norshtein,0,0,1,модератор; креативный продюсер проектов агентства «Стрелка»,Кино,Котельная,e068
Кир Павлюкевич,кир павлюкевич,kir-pavlyukevich,https://www.design-events.fun/speaker/kir-pavlyukevich,1,1,1,независимый креативный директор,ИИ,Бойлерная,e023
Кира Полянина,кира полянина,kira-polyanina,https://www.design-events.fun/speaker/kira-polyanina,0,0,1,модератор; независимый стратег дизайн-индустрии и продюсер культурных партнерств,Предметный дизайн,Центр Внутри,e049
Кирилл Шелест,кирилл шелест,kirill-shelest,https://www.design-events.fun/speaker/kirill-shelest,0,0,1,продюсер офлайн мероприятий в издательстве Ad Marginem,Издательское дело,Котельная,e075
Константин Беляков,константин беляков,konstantin-belyakov,https://www.design-events.fun/speaker/konstantin-belyakov,0,0,1,креативный лидер и сооснователь BALAGAN,REDDAY,Гостиная,e126
Ксения Литвинова,ксения литвинова,kseniya-litvinova,https://www.design-events.fun/speaker/kseniya-litvinova,0,0,1,"senior creator, креативное digital-агентство SOCIALIST",Бюро Глагол,Simple Music,e097
Ксения Масчан,ксения масчан,kseniya-maschan,https://www.design-events.fun/speaker/kseniya-maschan,0,0,1,"заместитель вице-президента по экономике и финансам, директор по закупкам и логистике VK",REDDAY,Гостиная,e116
Лидия Шахидовна,лидия шахидовна,lidiya-shahidovna,https://www.design-events.fun/speaker/lidiya-shahidovna,0,0,1,"миротворец, продюсер, мультидисциплинарный артист, дизайнер, художник и блогер",Konstruct и Слой,Konstruct Space,e153
Лиза Тринич-Афанасьева,лиза тринич-афанасьева,liza-trinich-afanaseva,https://www.design-events.fun/speaker/liza-trinich-afanaseva,0,0,1,директор креативного агентства СберМаркетинг,Маркетинг,Бойлерная,e006
Лиза Ягуарушкина,лиза ягуарушкина,liza-yaguarushkina,https://www.design-events.fun/speaker/liza-yaguarushkina,0,0,1,,Стендап,Котельная,e079
Макс Пономарев,макс пономарев,maks-ponomarev,https://www.design-events.fun/speaker/maks-ponomarev,0,0,1,,Клуб,Лекторий,e143
Максим Ворошилов,максим ворошилов,maksim-voroshilov,https://www.design-events.fun/speaker/maksim-voroshilov,0,0,1,"директор по развитию бизнеса S&P Records, операционный директор дистрибьютора Pulse",Музыка,Simple Music,e093
Максим Ежов,максим ежов,maksim-ezhov,https://www.design-events.fun/speaker/maksim-ezhov,0,0,1,креативный директор студии WB360 (Wildberries),Big Picture,Лекторий,e132
Максим Козлов,максим козлов,maksim-kozlov,https://www.design-events.fun/speaker/maksim-kozlov,0,0,1,руководитель Центра иммерсивных решений Сбера,Медиаарт,Центр Внутри,e033
Максим Перлин,максим перлин,maksim-perlin,https://www.design-events.fun/speaker/maksim-perlin,0,0,1,"CEO агентства креативных коммуникаций Blacklight, сооснователь АБА",Блогеры,Simple Music,e105
Марат Адельшин,марат адельшин,marat-adelshin,https://www.design-events.fun/speaker/marat-adelshin,0,0,1,режиссер и оператор,Big Picture,Лекторий,e131
Мария Иванова,мария иванова,mariya-ivanova,https://www.design-events.fun/speaker/mariya-ivanova,0,0,1,генеральный продюсер RBW,Konstruct и Слой,Konstruct Space,e152
Мария Ищенко,мария ищенко,mariya-ischenko,https://www.design-events.fun/speaker/mariya-ischenko,0,0,1,сооснователь е-б эдженси,Дизайн,Бойлерная,e013
Марьям Ахунова,марьям ахунова,maryam-ahunova,https://www.design-events.fun/speaker/maryam-ahunova,0,0,1,креативный директор Big Picture Festival,Big Picture,Лекторий,e129
Миляуша Лукманова,миляуша лукманова,milyausha-lukmanova,https://www.design-events.fun/speaker/milyausha-lukmanova,0,0,1,"creative team lead, креативное digital-агентство SOCIALIST",Бюро Глагол,Simple Music,e097
Митя Осадчук,митя осадчук,mitya-osadchuk,https://www.design-events.fun/speaker/mitya-osadchuk,1,1,1,дизайн-директор B2C Сбера,Дизайн,Бойлерная,e014
Михаил Шутов,михаил шутов,mihail-shutov,https://www.design-events.fun/speaker/mihail-shutov,0,0,1,модератор; сооснователь креативного агентства «МЕЛ»,REDDAY,Гостиная,e128
Миша Петрик,миша петрик,misha-petrik,https://www.design-events.fun/speaker/misha-petrik,0,0,1,со-основатель и креативный директор Petrick,ИИ,Бойлерная,e027
Наадя (Надя Грицкевич),наадя (надя грицкевич),naadya-nadya-gritskevich,https://www.design-events.fun/speaker/naadya-nadya-gritskevich,0,0,1,куратор направления «Автор песен» в Moscow Music School,Образование,Simple Music,e086
Наадя Грицкевич,наадя грицкевич,naadya-gritskevich,https://www.design-events.fun/speaker/naadya-gritskevich,0,0,1,куратор направления «Автор песен» в Moscow Music School,Образование,Simple Music,e087
Наташа Климчук,наташа климчук,natasha-klimchuk,https://www.design-events.fun/speaker/natasha-klimchuk,0,0,1,модератор,Образование,Simple Music,e086
Нелли Наджарян,нелли наджарян,nelli-nadzharyan,https://www.design-events.fun/speaker/nelli-nadzharyan,0,0,1,руководитель по закупкам категории «Маркетинговые услуги» X5,REDDAY,Гостиная,e116
Ник Эрлан,ник эрлан,nik-erlan,https://www.design-events.fun/speaker/nik-erlan,0,0,1,"волшебник, физтех, мастер медитации, Senior IT/AI Architect",Konstruct и Слой,Konstruct Space,e153
Никита Прядко,никита прядко,nikita-pryadko,https://www.design-events.fun/speaker/nikita-pryadko,0,0,1,"основатель режиссёрского и видеопродакшена ""run"", режиссёр",REDDAY,Гостиная,e118
Николай Осин,николай осин,nikolai-osin,https://www.design-events.fun/speaker/nikolai-osin,0,0,1,креативный директор и партнёр REDDAY,REDDAY,Гостиная,e108
Оксана Запевалова,оксана запевалова,oksana-zapevalova,https://www.design-events.fun/speaker/oksana-zapevalova,0,0,1,главный редактор «Лайфхакера»,Медиа,Котельная,e052
Олег Баринбойм,олег баринбойм,oleg-barinboim,https://www.design-events.fun/speaker/oleg-barinboim,0,0,1,креативный директор TUTKOVBUDKOV,Дизайн,Бойлерная,e011
Олег Туманов,олег туманов,oleg-tumanov,https://www.design-events.fun/speaker/oleg-tumanov,0,0,1,,Клуб,Лекторий,e142
Олег Юсупов,олег юсупов,oleg-yusupov,https://www.design-events.fun/speaker/oleg-yusupov,0,0,1,CEO и сооснователь Phygital+,ИИ,Бойлерная,e027
Ольга Зуева,ольга зуева,olga-zueva,https://www.design-events.fun/speaker/olga-zueva,1,1,1,co-founder Phygital+,ИИ,Бойлерная,e022
Ольга Рыдзевская,ольга рыдзевская,olga-rydzevskaya,https://www.design-events.fun/speaker/olga-rydzevskaya,0,0,1,генеральный директор и партнёр Worlds,REDDAY,Гостиная,e119
Покрас Лампас,покрас лампас,pokras-lampas,https://www.design-events.fun/speaker/pokras-lampas,1,1,1,"современный художник, каллиграф",Реклама,Бойлерная,e020
Полина Накрайникова,полина накрайникова,polina-nakrainikova,https://www.design-events.fun/speaker/polina-nakrainikova,0,0,1,,Стендап,Котельная,e079
Пётр Губанов,пётр губанов,petr-gubanov,https://www.design-events.fun/speaker/petr-gubanov,1,0,1,основатель контент-агентства PostPost,Блогеры,Simple Music,e101
Регина Каллагова,регина каллагова,regina-kallagova,https://www.design-events.fun/speaker/regina-kallagova,0,0,1,менеджер по закупкам hh.ru,REDDAY,Гостиная,e116
Рома Бетретдинов,рома бетретдинов,roma-betretdinov,https://www.design-events.fun/speaker/roma-betretdinov,0,0,1,главный редактор Sostav,Медиа,Котельная,e063
